Number of points: 1001
                Sun:                                            Mercury:                                        Venus:                                          Earth:                                          Mars:                                           Jupiter:                                        Saturn:                                         Uranus:                                         Neptun:                                         Pluto:                                          
Time            Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    
0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.900000e-01    0.000000e+00    0.000000e+00    7.200000e-01    0.000000e+00    0.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    1.520000e+00    0.000000e+00    0.000000e+00    5.200000e+00    0.000000e+00    0.000000e+00    9.540000e+00    0.000000e+00    0.000000e+00    1.919000e+01    0.000000e+00    0.000000e+00    3.006000e+01    0.000000e+00    0.000000e+00    3.953000e+01    0.000000e+00    0.000000e+00    
1.000000e-02    0.000000e+00    0.000000e+00    0.000000e+00    3.900000e-01    1.016377e-01    0.000000e+00    7.200000e-01    7.338760e-02    0.000000e+00    1.000000e+00    6.283185e-02    0.000000e+00    1.520000e+00    5.074107e-02    0.000000e+00    5.200000e+00    2.722714e-02    0.000000e+00    9.540000e+00    2.066951e-02    0.000000e+00    1.919000e+01    1.435409e-02    0.000000e+00    3.006000e+01    1.144682e-02    0.000000e+00    3.953000e+01    1.001509e-02    0.000000e+00    
2.000000e-02    1.866734e-07    0.000000e+00    0.000000e+00    3.640447e-01    2.032753e-01    0.000000e+00    7.123849e-01    1.467752e-01    0.000000e+00    9.960523e-01    1.256637e-01    0.000000e+00    1.518292e+00    1.014821e-01    0.000000e+00    5.199854e+00    5.445427e-02    0.000000e+00    9.539956e+00    4.133903e-02    0.000000e+00    1.918999e+01    2.870817e-02    0.000000e+00    3.006000e+01    2.289364e-02    0.000000e+00    3.953000e+01    2.003019e-02    0.000000e+00    
3.000000e-02    5.592548e-07    4.394869e-09    0.000000e+00    3.145705e-01    2.987836e-01    0.000000e+00    6.972719e-01    2.193985e-01    0.000000e+00    9.881801e-01    1.882490e-01    0.000000e+00    1.514877e+00    1.521663e-01    0.000000e+00    5.199562e+00    8.168064e-02    0.000000e+00    9.539869e+00    6.200845e-02    0.000000e+00    1.918997e+01    4.306225e-02    0.000000e+00    3.005999e+01    3.434046e-02    0.000000e+00    3.952999e+01    3.004528e-02    0.000000e+00    
4.000000e-02    1.116544e-06    1.731906e-08    0.000000e+00    2.452696e-01    3.832210e-01    0.000000e+00    6.748504e-01    2.905160e-01    0.000000e+00    9.764219e-01    2.503440e-01    0.000000e+00    1.509762e+00    2.027367e-01    0.000000e+00    5.199124e+00    1.089055e-01    0.000000e+00    9.539739e+00    8.267768e-02    0.000000e+00    1.918994e+01    5.741631e-02    0.000000e+00    3.005997e+01    4.578728e-02    0.000000e+00    3.952998e+01    4.006037e-02    0.000000e+00    
5.000000e-02    1.856963e-06    4.256339e-08    0.000000e+00    1.607615e-01    4.532139e-01    0.000000e+00    6.453814e-01    3.594158e-01    0.000000e+00    9.608315e-01    3.117089e-01    0.000000e+00    1.502953e+00    2.531369e-01    0.000000e+00    5.198541e+00    1.361280e-01    0.000000e+00    9.539564e+00    1.033466e-01    0.000000e+00    1.918989e+01    7.177035e-02    0.000000e+00    3.005996e+01    5.723409e-02    0.000000e+00    3.952997e+01    5.007546e-02    0.000000e+00    
6.000000e-02    2.778664e-06    8.352183e-08    0.000000e+00    6.597343e-02    5.071446e-01    0.000000e+00    6.091954e-01    4.254238e-01    0.000000e+00    9.414776e-01    3.721089e-01    0.000000e+00    1.494458e+00    3.033106e-01    0.000000e+00    5.197811e+00    1.633475e-01    0.000000e+00    9.539346e+00    1.240152e-01    0.000000e+00    1.918984e+01    8.612436e-02    0.000000e+00    3.005993e+01    6.868089e-02    0.000000e+00    3.952996e+01    6.009055e-02    0.000000e+00    
7.000000e-02    3.879645e-06    1.431955e-07    0.000000e+00    -3.452159e-02   5.449855e-01    0.000000e+00    5.666893e-01    4.879119e-01    0.000000e+00    9.184436e-01    4.313149e-01    0.000000e+00    1.484287e+00    3.532021e-01    0.000000e+00    5.196936e+00    1.905632e-01    0.000000e+00    9.539085e+00    1.446833e-01    0.000000e+00    1.918977e+01    1.004783e-01    0.000000e+00    3.005991e+01    8.012769e-02    0.000000e+00    3.952995e+01    7.010563e-02    0.000000e+00    
8.000000e-02    5.157843e-06    2.242424e-07    0.000000e+00    -1.369635e-01   5.678583e-01    0.000000e+00    5.183210e-01    5.463060e-01    0.000000e+00    8.918272e-01    4.891051e-01    0.000000e+00    1.472452e+00    4.027559e-01    0.000000e+00    5.195914e+00    2.177743e-01    0.000000e+00    9.538780e+00    1.653509e-01    0.000000e+00    1.918970e+01    1.148322e-01    0.000000e+00    3.005988e+01    9.157448e-02    0.000000e+00    3.952993e+01    8.012071e-02    0.000000e+00    
9.000000e-02    6.611175e-06    3.290400e-07    0.000000e+00    -2.385682e-01   5.775188e-01    0.000000e+00    4.646028e-01    6.000936e-01    0.000000e+00    8.617401e-01    5.452652e-01    0.000000e+00    1.458968e+00    4.519171e-01    0.000000e+00    5.194747e+00    2.449800e-01    0.000000e+00    9.538431e+00    1.860177e-01    0.000000e+00    1.918961e+01    1.291861e-01    0.000000e+00    3.005984e+01    1.030213e-01    0.000000e+00    3.952991e+01    9.013579e-02    0.000000e+00    
