Number of MC cycles: 990000
Number of Temperatures: 20
Number of Spins: 40
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2000000       -1.5469804      0.78658961      1.3984571       4.2149134       
2.2105263       -1.5306960      0.76786892      1.5135584       6.6261513       
2.2210526       -1.5165014      0.75588341      1.5391386       7.0093279       
2.2315789       -1.4981431      0.73206061      1.6716746       10.075852       
2.2421053       -1.4801588      0.71059335      1.7420694       12.138502       
2.2526316       -1.4613384      0.68397750      1.8414633       15.388235       
2.2631579       -1.4417369      0.65596745      1.8997806       17.841723       
2.2736842       -1.4208654      0.62117864      1.9537885       21.735890       
2.2842105       -1.3996545      0.58639183      1.9950934       24.818951       
2.2947368       -1.3786729      0.54778978      2.0169801       28.000820       
2.3052632       -1.3567122      0.50687325      1.9823084       29.895301       
2.3157895       -1.3381710      0.47620954      1.9355716       30.486135       
2.3263158       -1.3170884      0.43485743      1.8315536       30.701845       
2.3368421       -1.3000363      0.40781136      1.7175425       29.028632       
2.3473684       -1.2802630      0.36373566      1.6065325       28.258321       
2.3578947       -1.2666403      0.34888000      1.5276103       26.789160       
2.3684211       -1.2495994      0.31721724      1.4290939       24.405707       
2.3789474       -1.2355032      0.29589436      1.3661576       23.082968       
2.3894737       -1.2211833      0.27559958      1.2843902       20.945670       
2.4000000       -1.2062967      0.25071002      1.1969511       18.473691       
