Number of MC cycles: 990000
Number of Temperatures: 20
Number of Spins: 60
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2000000       -1.5460263      0.78329921      1.4273435       5.3333138       
2.2105263       -1.5311277      0.76987015      1.4921025       6.1142430       
2.2210526       -1.5155036      0.75324383      1.5569697       8.1973005       
2.2315789       -1.4978184      0.72941547      1.6989310       14.071129       
2.2421053       -1.4779501      0.70080165      1.8667130       18.557220       
2.2526316       -1.4605652      0.67716896      1.9364904       22.736970       
2.2631579       -1.4362033      0.62334980      2.1371641       40.222448       
2.2736842       -1.4139713      0.58092886      2.1737441       46.789878       
2.2842105       -1.3913544      0.52812662      2.2124000       57.769652       
2.2947368       -1.3690428      0.47938471      2.1903883       61.075911       
2.3052632       -1.3469894      0.42635354      2.0355545       61.556109       
2.3157895       -1.3243660      0.36834460      1.8918695       58.917901       
2.3263158       -1.3060596      0.32577643      1.7499765       55.142379       
2.3368421       -1.2881616      0.28962772      1.5928637       49.522950       
2.3473684       -1.2718097      0.25779786      1.4773728       42.414420       
2.3578947       -1.2573386      0.23595418      1.4121072       38.062471       
2.3684211       -1.2435973      0.21820558      1.3176365       33.253181       
2.3789474       -1.2288616      0.19322021      1.2439004       27.623760       
2.3894737       -1.2167632      0.18288090      1.1940535       24.805416       
2.4000000       -1.2047329      0.17204398      1.1434388       22.066264       
