Number of temperatures: 21
Temperature [K]               Diffusion constant [sigma*sqrt(epsilon/u)]
5.687793e+01                  5.735293e-05                  
5.985367e+01                  6.973679e-05                  
6.284860e+01                  7.639173e-05                  
6.566192e+01                  7.980874e-05                  
6.811510e+01                  9.004965e-05                  
7.078319e+01                  1.202174e-04                  
7.352608e+01                  9.170344e-05                  
7.581714e+01                  1.748704e-04                  
7.734884e+01                  3.992496e-04                  
7.844036e+01                  1.164215e-03                  
7.847755e+01                  2.812357e-03                  
8.006170e+01                  2.968445e-03                  
8.197193e+01                  3.883845e-03                  
8.478295e+01                  3.825674e-03                  
8.756866e+01                  3.978371e-03                  
9.033234e+01                  5.250416e-03                  
9.320776e+01                  5.201084e-03                  
9.640427e+01                  6.003790e-03                  
9.925513e+01                  5.217390e-03                  
1.017677e+02                  6.485915e-03                  
1.050492e+02                  6.414825e-03                  
