Number of time steps: 1000
Initial temperature [K]: 1.500000e+02
Time [ps]                     Kinetic Energy [epsilon]      Potential Energy [epsilon]    Total Energy [epsilon]        Temperature [K]               Diffusion constant [sigma*sqrt(epsilon/u)]
0.000000e+00                  8.792594e+02                  6.953260e-310                 8.792594e+02                  1.401907e+02                  -nan                          
1.000000e-02                  8.782820e+02                  -3.511495e+03                 -2.633213e+03                 1.400349e+02                  4.296967e-04                  
2.000000e-02                  8.752858e+02                  -3.508510e+03                 -2.633225e+03                 1.395572e+02                  8.584390e-04                  
3.000000e-02                  8.701146e+02                  -3.503358e+03                 -2.633244e+03                 1.387326e+02                  1.285205e-03                  
4.000000e-02                  8.625462e+02                  -3.495817e+03                 -2.633271e+03                 1.375259e+02                  1.708883e-03                  
5.000000e-02                  8.522679e+02                  -3.485574e+03                 -2.633307e+03                 1.358871e+02                  2.128221e-03                  
6.000000e-02                  8.388830e+02                  -3.472232e+03                 -2.633349e+03                 1.337530e+02                  2.541776e-03                  
7.000000e-02                  8.219297e+02                  -3.455326e+03                 -2.633397e+03                 1.310500e+02                  2.947862e-03                  
8.000000e-02                  8.009197e+02                  -3.434364e+03                 -2.633445e+03                 1.277001e+02                  3.344505e-03                  
9.000000e-02                  7.754110e+02                  -3.408896e+03                 -2.633485e+03                 1.236329e+02                  3.729400e-03                  
1.000000e-01                  7.451270e+02                  -3.378634e+03                 -2.633507e+03                 1.188044e+02                  4.099903e-03                  
1.100000e-01                  7.101241e+02                  -3.343621e+03                 -2.633497e+03                 1.132235e+02                  4.453058e-03                  
1.200000e-01                  6.709776e+02                  -3.304419e+03                 -2.633442e+03                 1.069819e+02                  4.785693e-03                  
1.300000e-01                  6.289128e+02                  -3.262255e+03                 -2.633343e+03                 1.002750e+02                  5.094609e-03                  
1.400000e-01                  5.857766e+02                  -3.218990e+03                 -2.633214e+03                 9.339728e+01                  5.376842e-03                  
1.500000e-01                  5.438006e+02                  -3.176881e+03                 -2.633081e+03                 8.670456e+01                  5.629977e-03                  
1.600000e-01                  5.052169e+02                  -3.138187e+03                 -2.632970e+03                 8.055269e+01                  5.852425e-03                  
1.700000e-01                  4.718713e+02                  -3.104770e+03                 -2.632898e+03                 7.523601e+01                  6.043608e-03                  
